band_pid,issue_pid,issue_number,year,manifest_url,author,title,pages,issn,error
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::268/manifest,,Titelseiten,,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::269/manifest,,Aktuell,,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::270/manifest,,Editorial,1-2,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::271/manifest,,Nachrichten,3-3,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::272/manifest,"Harms, Imma",Die Schlacht der 80er,4-10,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::273/manifest,"Bertrand, René",Büro-Rationalisierung,11-14,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::274/manifest,"Obens, Hartmut",Modern times,15-20,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::275/manifest,"Cooley, Mike","Entwurf, Technologie und Produktion für gesellschaftliche Bedürfnisse",21-27,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::276/manifest,"Hesse, Albert; Micheler, Astrid",Genmanipulation : Ausbruch aus dem Elfenbeinturm,28-35,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::278/manifest,"Maurer, Margarete",Frauen in Naturwissenschaft und Technik,35-38,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::279/manifest,[s.n.],Neutron oder Feminon?,39-41,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::280/manifest,Schmid-Michael,Geschichten aus dem Atomstaat : politische Kündigung bei der Kraftwerk-Union Offenbach,42-45,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::281/manifest,"Mez, Lutz",Aktionskreis Leben : Gewerkschafter gegen Atomindustrie und Wachstumsideologie,46-46,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::282/manifest,[s.n.],Die Neutronenbombe,47-48,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::283/manifest,"Elliot, E.",Lärmschutz oder Ruheschutz?,49-49,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::284/manifest,,Projekte,50-52,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::286/manifest,,Rezensionen,52-56,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::288/manifest,,Nachrichten,57-57,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::267,0,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::289/manifest,,Inhaltsverzeichnis,58-58,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::291/manifest,,Titelseiten,,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::292/manifest,,Aktuell,2-2,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::293/manifest,,Editorial,3-3,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::294/manifest,,Leserbriefe,4-4,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::295/manifest,,Nachrichten,5-5,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::296/manifest,"Endler, Wolfgang",Schwermetalle : die biologische Zeitbombe,6-12,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::297/manifest,"Darimont, Thomas",Pestizide,13-15,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::298/manifest,"Vahrenholt, Fritz; Mehrtens, Herbert; Stange, Rainer",Fritz Vahrenholt : Interview,16-19,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::299/manifest,"Stange, Rainer",Chemiegesetz : ein Gesetz zum Schutz schädlicher Stoffe?,20-21,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::301/manifest,[s.n.],Bremer Trinkwasser : eine toxikologische Analyse am Beispiel des Bremer Trinkwassers,21-28,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::303/manifest,"Garret, John; Wright, Geoff","Micro is beautiful... : Mikroprozessoren und Computernetze in einer demokratischen, selbstverwalteten Gesellschaft",29-32,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::304/manifest,"Bradish, Paula; Pochanke, Angelika",Sicherheit im Genlabor,33-40,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::305/manifest,"Gödecke, Heinz-Erich",Ein wissenschaftlich-technischer Ausschuss : wozu?,41-42,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::307/manifest,"Güntherroth, Horst",Die Wettermacher,42-43,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::309/manifest,W.W.,UNCSTD,44-44,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::310/manifest,"Preiss, Dagmar",Technologietransfer : Humanität oder ökonomisches Kalkül?,45-47,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::311/manifest,"Brämer, Rainer",Naturwissenschaft in der Schule : Notwendigkeit oder Ideologie?,48-56,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::312/manifest,"Harms, Imma",Weibliche Wissenschaft?,57-58,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::313/manifest,,Projekte,59-61,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::314/manifest,,Rezensionen,62-65,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::315/manifest,,Nachrichten,66-67,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::290,1,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::316/manifest,,Inhaltsverzeichnis,68-68,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::318/manifest,,Titelseiten,,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::319/manifest,,Aktuell,2-2,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::320/manifest,,Editorial,3-3,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::321/manifest,,Leserbriefe,4-5,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::322/manifest,,Nachrichten,6-7,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::323/manifest,"Neef, Wolfgang",Ingenieure im Umbruch,8-13,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::324/manifest,"Cooley, Mike",Mensch-Maschine Dialog : zur Einführung des Taylorismus in die Konstruktionsarbeit,14-19,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::325/manifest,"Bednarz, Klaus; Schlag, Rainer; Kehrer, Marion",Interview bei Gildemeister,20-22,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::327/manifest,"Laatz, Wilfried",Arbeitslose Ingenieure,22-24,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::329/manifest,"Krause, Hans Walter",Auflehnung oder Karriere,25-28,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::330/manifest,[s.n.],Was Ingenieure so alles erzählen...,29-29,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::331/manifest,"Onlein, Ferdinand",Mit Marx in die Industrie...,30-31,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::332/manifest,"Köster-Lossack, Angelika",Soziobiologie,32-38,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::333/manifest,"Kugel, Wilfried",Biologie + Physik + Elektronik = Psychotronik?,39-43,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::334/manifest,"Tietze, U.; Bednarz, K.",Hochspannungsleitungen : Elektromagnetische Umweltverschmutzung?,44-46,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::335/manifest,,Diskussion,47-49,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::336/manifest,"Müller, Wolfgang; Janzen, Karl-Heinz",IG Metall kritisiert Humanisierungsprogramm : Interview,50-52,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::337/manifest,"Hennings, Dirk",Wissenschaftliche Mitarbeiter boykottieren Lehrveranstaltungen,53-55,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::338/manifest,,Projekte,56-62,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::339/manifest,,Rezensionen,63-65,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::340/manifest,,Nachrichten,66-66,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::341/manifest,,Miscellaneous,67-67,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::317,2,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::342/manifest,,Inhaltsverzeichnis,68-68,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::344/manifest,,Titelseiten,,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::345/manifest,,Editorial,2-3,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::346/manifest,,Leserbriefe,4-5,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::347/manifest,,Nachrichten,6-7,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::348/manifest,"Galtung, Johan",Merkmale westlicher Technologie,8-11,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::349/manifest,"Kraft, Harald",Quattara-Projekt : Wunsch und Wirklichkeit einer Grosstechnologie,12-14,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::350/manifest,"Bierter, Willy","Was heisst ""angepasste Technologie""?",15-17,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::352/manifest,"Rodenburg, N.","Philips Pilot Plant : ein Modell ""angepasster Technologie",17-20,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::355/manifest,"Stange, Rainer",UNCSTD : Impressionen von der Weltbühne der Wissenschaftspolitik,20-21,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::358/manifest,"Henke, Jürgen",Der chinesische Weg,21-23,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::360/manifest,"Kirschbaum, Carlos; Wittwer, Enrique",Zuckerrohr und Physik : Kooperationsmodell zwischen Universität und Industrie,24-28,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::362/manifest,"Mitschke-Collande, P.V.",Ausbildungsprinzip : angepasste Technologie,28-31,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::365/manifest,"Streck, Bernhard",Der Wolf im Schafspelz,31-34,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::367/manifest,,[Nachrichten],35-35,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::368/manifest,[s.n.],Kerntechnologie im Nahen Osten,36-37,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::369/manifest,"Böhme, Gernot",Die Entfremdung der Wissenschaft und ihre gesellschaftliche Aneignung,38-43,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::370/manifest,"Servuss, Rolf",Das Jet Projekt,44-45,0172-1623,
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::371/manifest,"Müllert, Norbert R.","Die Rache des Fliessbandarbeiters : auf dem Weg zum ""Automatenmenschen""?",46-48,0172-1623,
